id,type,gender,skin tone,count,accessories
261, Human, Male, Dark,2, Purple Hair / 3D Glasses
262, Human, Female, Dark,2, Wild White Hair / Black Lipstick
263, Human, Female, Dark,2, Blonde Short / Regular Shades
264, Human, Male, Albino,2, Messy Hair / Muttonchops
265, Human, Female, Albino,2, Wild White Hair / Earring
266, Human, Male, Dark,3, Cap Forward / Gold Chain / Earring
267, Human, Male, Dark,3, Earring / Do-rag / Small Shades
268, Human, Male, Dark,2, Clown Nose / Fedora
269, Human, Female, Light,1, Knitted Cap
270, Human, Male, Dark,4, Luxurious Beard / Hoodie / Earring / Small Shades
271, Human, Female, Medium,2, Red Mohawk / Clown Eyes Blue
272, Human, Male, Medium,1, Stringy Hair
273, Human, Male, Medium,2, Messy Hair / Buck Teeth
274, Human, Male, Light,2, Cap Forward / Big Shades
275, Human, Male, Light,4, Cap / Handlebars / Earring / Regular Shades
276, Human, Female, Medium,3, Purple Eye Shadow / Stringy Hair / Purple Lipstick
277, Human, Female, Light,1, Crazy Hair
278, Human, Female, Light,1, Red Mohawk
279, Human, Female, Albino,2, Black Lipstick / Straight Hair Dark
280, Human, Female, Medium,3, Blue Eye Shadow / Straight Hair Blonde / Purple Lipstick
281, Human, Male, Albino,1, Earring
282, Human, Male, Light,0, 
283, Human, Female, Albino,2, Classic Shades / Straight Hair Dark
284, Human, Female, Light,2, Hot Lipstick / Frumpy Hair
285, Human, Male, Albino,1, Mohawk Thin
286, Human, Female, Light,2, Dark Hair / Purple Lipstick
287, Human, Male, Albino,2, Wild Hair / Goat
288, Human, Female, Albino,3, Mohawk / Purple Eye Shadow / Cigarette
289, Human, Male, Albino,1, Shaved Head
290, Human, Female, Medium,2, Mohawk Thin / Eye Patch
291, Human, Female, Medium,1, Wild Blonde
292, Human, Male, Medium,2, Mohawk Thin / Earring
293, Human, Female, Light,2, Tassle Hat / Black Lipstick
294, Human, Male, Light,2, Handlebars / Mohawk Dark
295, Human, Male, Dark,3, Hoodie / Big Shades / Earring
296, Human, Male, Medium,2, Frown / Shaved Head
297, Human, Male, Medium,1, Mohawk Thin
298, Human, Male, Medium,2, Muttonchops / Crazy Hair
299, Human, Female, Light,1, Half Shaved
300, Human, Male, Dark,2, Muttonchops / Do-rag
301, Human, Male, Light,2, Goat / Headband
302, Human, Female, Albino,3, Red Mohawk / Green Eye Shadow / Hot Lipstick
303, Human, Female, Medium,3, Blue Eye Shadow / Bandana / Purple Lipstick
304, Human, Female, Dark,2, Red Mohawk / Purple Lipstick
305, Human, Male, Medium,2, Peak Spike / Shadow Beard
306, Human, Female, Albino,3, VR / Purple Lipstick / Blonde Bob
307, Human, Female, Light,2, Vape / Wild Hair
308, Human, Male, Medium,2, Frumpy Hair / Chinstrap
309, Human, Male, Light,3, Messy Hair / Horned Rim Glasses / Mole
310, Human, Male, Medium,2, Big Shades / Shaved Head
311, Human, Male, Dark,4, Bandana / Vape / Classic Shades / Earring
312, Human, Male, Light,2, Front Beard / Frumpy Hair
313, Human, Male, Light,2, Cap Forward / Chinstrap
314, Human, Female, Light,2, Purple Lipstick / Mohawk Dark
315, Human, Male, Albino,2, Eye Mask / Police Cap
316, Human, Female, Medium,3, Wild White Hair / Black Lipstick / Cigarette
317, Human, Female, Dark,1, Bandana
318, Human, Male, Medium,3, Bandana / Frown / Chinstrap
319, Human, Female, Albino,3, Bandana / Hot Lipstick / Cigarette
320, Human, Female, Light,2, Earring / Straight Hair Dark
321, Human, Male, Dark,1, Stringy Hair
322, Human, Male, Medium,1, Peak Spike
323, Human, Female, Medium,3, Black Lipstick / Pink With Hat / Clown Eyes Green
324, Human, Male, Dark,1, Mohawk Dark
325, Human, Female, Albino,3, Hot Lipstick / Earring / Blonde Bob
326, Human, Male, Dark,3, Police Cap / Mustache / Small Shades
327, Human, Female, Dark,3, Wild White Hair / Hot Lipstick / Earring
328, Human, Male, Albino,1, Crazy Hair
329, Human, Male, Light,2, Bandana / Horned Rim Glasses
330, Human, Female, Medium,2, Bandana / Eye Patch
331, Human, Male, Medium,2, Knitted Cap / Clown Eyes Green
332, Human, Female, Albino,3, Tassle Hat / Purple Lipstick / Earring
333, Human, Male, Dark,2, Stringy Hair / Horned Rim Glasses
334, Human, Female, Light,3, Purple Eye Shadow / Straight Hair Blonde / Purple Lipstick
335, Human, Male, Dark,2, Wild Hair / Big Beard
336, Human, Male, Medium,1, Clown Hair Green
337, Human, Male, Medium,3, Nerd Glasses / Normal Beard / Top Hat
338, Human, Male, Medium,1, Frumpy Hair
339, Human, Male, Light,2, Messy Hair / Small Shades
340, Human, Female, Albino,5, Mole / Cap / Big Shades / Black Lipstick / Earring
341, Human, Male, Medium,4, Muttonchops / Headband / Medical Mask / 3D Glasses
342, Human, Female, Light,2, Messy Hair / Earring
343, Human, Female, Light,2, Bandana / Regular Shades
344, Human, Male, Light,2, Police Cap / Shadow Beard
345, Human, Male, Dark,1, Beanie
346, Human, Female, Medium,2, Tassle Hat / Earring
347, Human, Male, Medium,1, Purple Hair
348, Human, Male, Medium,2, Horned Rim Glasses / Knitted Cap
349, Human, Female, Light,3, Messy Hair / Rosy Cheeks / Nerd Glasses
350, Human, Male, Dark,3, Front Beard Dark / Earring / Mohawk Dark
351, Human, Female, Medium,1, Stringy Hair
352, Human, Male, Light,3, Purple Hair / Goat / Mole
353, Human, Female, Medium,2, Green Eye Shadow / Straight Hair
354, Human, Female, Light,2, Bandana / Green Eye Shadow
355, Human, Male, Albino,2, Cigarette / Police Cap
356, Human, Female, Albino,4, Wild White Hair / Black Lipstick / Gold Chain / Green Eye Shadow
357, Human, Male, Light,1, Stringy Hair
358, Human, Female, Dark,2, Tassle Hat / Earring
359, Human, Male, Light,3, Luxurious Beard / Mohawk / Small Shades
360, Human, Female, Albino,2, Messy Hair / Hot Lipstick
361, Human, Male, Medium,2, Bandana / Normal Beard Black
362, Human, Male, Medium,1, Mohawk Dark
363, Human, Male, Medium,3, Eye Mask / Peak Spike / Shadow Beard
364, Human, Male, Albino,3, Shadow Beard / Nerd Glasses / Cowboy Hat
365, Human, Male, Albino,2, Normal Beard Black / Hoodie
366, Human, Male, Light,2, Normal Beard / Do-rag
367, Human, Male, Medium,3, Eye Mask / Earring / Mohawk
368, Human, Male, Dark,1, Clown Hair Green
369, Human, Female, Medium,2, Frumpy Hair / Purple Lipstick
370, Human, Male, Light,3, Luxurious Beard / Fedora / Earring
371, Human, Male, Dark,4, Cigarette / Peak Spike / Rosy Cheeks / Small Shades
372, Human, Female, Medium,1, Frumpy Hair
373, Ape, Male, ,1, Cap Forward
374, Human, Male, Dark,2, Earring / Headband
375, Human, Female, Dark,2, Bandana / Clown Eyes Blue
376, Human, Female, Light,2, Green Eye Shadow / Wild Hair
377, Human, Female, Light,2, Half Shaved / Nerd Glasses
378, Human, Male, Albino,5, Cigarette / Earring / Normal Beard / Headband / Regular Shades
379, Human, Female, Dark,2, Frumpy Hair / Earring
380, Human, Female, Light,3, Mohawk Thin / Purple Lipstick / Earring
381, Human, Female, Light,3, Black Lipstick / Wild Hair / Earring
382, Human, Female, Light,2, Knitted Cap / Purple Lipstick
383, Human, Female, Light,2, Pilot Helmet / Cigarette
384, Human, Female, Medium,2, Green Eye Shadow / Straight Hair Blonde
385, Human, Female, Medium,3, Bandana / Classic Shades / Purple Lipstick
386, Human, Female, Medium,2, Choker / Wild Hair
387, Human, Male, Medium,2, Earring / Do-rag
388, Human, Male, Medium,3, Cap Forward / Gold Chain / Pipe
389, Human, Female, Medium,3, Straight Hair Blonde / Hot Lipstick / Clown Eyes Blue
390, Human, Male, Light,2, Rosy Cheeks / Do-rag
391, Human, Female, Light,1, Messy Hair
392, Human, Female, Dark,3, Eye Mask / Black Lipstick / Wild Blonde
393, Human, Male, Medium,1, Shaved Head
394, Human, Male, Light,3, Cigarette / Cap Forward / VR
395, Human, Female, Light,2, Pink With Hat / Earring
396, Human, Male, Light,3, Cap Forward / Earring / Normal Beard
397, Human, Female, Medium,1, Straight Hair Blonde
398, Human, Male, Medium,1, Cowboy Hat
399, Human, Male, Dark,1, Bandana
400, Human, Male, Dark,2, Purple Hair / Small Shades
401, Human, Female, Medium,3, Purple Eye Shadow / Purple Lipstick / Blonde Bob
402, Human, Male, Dark,3, Frumpy Hair / Earring / Big Beard
403, Human, Male, Dark,2, Mohawk Thin / Front Beard Dark
404, Human, Male, Dark,2, Classic Shades / Clown Hair Green
405, Human, Female, Light,3, Orange Side / Silver Chain / Cigarette
406, Human, Female, Medium,1, Messy Hair
407, Human, Male, Dark,2, Hoodie / Nerd Glasses
408, Human, Female, Light,3, Wild Blonde / Purple Lipstick / Earring
409, Human, Male, Dark,1, Cap Forward
410, Human, Female, Light,2, Knitted Cap / Black Lipstick
411, Human, Male, Albino,2, Headband / Eye Patch
412, Human, Female, Light,3, Black Lipstick / Wild Hair / Clown Eyes Blue
413, Human, Male, Albino,3, Purple Hair / Classic Shades / Earring
414, Human, Female, Albino,1, Straight Hair
415, Human, Male, Light,3, Shadow Beard / Earring / Top Hat
416, Human, Male, Light,4, Frown / Police Cap / Small Shades / Mole
417, Human, Male, Dark,3, Cigarette / Hoodie / Smile
418, Human, Female, Dark,1, Straight Hair Dark
419, Human, Female, Dark,3, Vape / Wild White Hair / Black Lipstick
420, Human, Female, Medium,2, Bandana / Earring
421, Human, Male, Albino,2, Earring / Crazy Hair
422, Human, Male, Medium,2, Front Beard / Wild Hair
423, Human, Female, Light,4, Purple Eye Shadow / Dark Hair / Purple Lipstick / Earring
424, Human, Male, Dark,2, Clown Eyes Blue / Shaved Head
425, Human, Male, Albino,3, Hoodie / Muttonchops / Regular Shades
426, Human, Female, Dark,3, Messy Hair / Black Lipstick / Horned Rim Glasses
427, Human, Male, Dark,2, Peak Spike / Big Shades
428, Human, Female, Dark,1, Messy Hair
429, Human, Female, Dark,1, Purple Eye Shadow
430, Human, Male, Medium,2, Police Cap / Smile
431, Human, Female, Dark,3, Dark Hair / Purple Lipstick / Earring
432, Human, Female, Dark,2, Horned Rim Glasses / Headband
433, Human, Male, Medium,3, Cigarette / Messy Hair / Earring
434, Human, Male, Medium,4, Mohawk Thin / Earring / Normal Beard / Regular Shades
435, Human, Male, Albino,2, Frumpy Hair / Eye Mask
436, Human, Male, Medium,2, Mohawk Thin / Muttonchops
437, Human, Male, Medium,1, Medical Mask
438, Human, Male, Light,3, Front Beard Dark / Crazy Hair / Eye Patch
439, Human, Female, Medium,1, Mohawk Dark
440, Human, Male, Medium,2, Shadow Beard / Knitted Cap
441, Human, Female, Dark,2, Black Lipstick / Blonde Short
442, Human, Male, Dark,2, Stringy Hair / Shadow Beard
443, Human, Male, Light,2, Front Beard / Cowboy Hat
444, Human, Female, Dark,1, Wild Blonde
445, Human, Male, Dark,3, Shadow Beard / Earring / Do-rag
446, Human, Female, Dark,4, Pipe / Pilot Helmet / Purple Lipstick / Earring
447, Human, Female, Medium,3, Straight Hair Blonde / Cigarette / Nerd Glasses
448, Human, Male, Medium,2, Stringy Hair / Big Shades
449, Human, Male, Light,1, Shaved Head
450, Human, Female, Medium,3, Straight Hair / Purple Lipstick / Cigarette
451, Human, Male, Medium,3, Cigarette / Fedora / Small Shades
452, Human, Male, Dark,1, Do-rag
453, Human, Male, Albino,1, Knitted Cap
454, Human, Male, Medium,2, Cap / Buck Teeth
455, Human, Male, Dark,3, Messy Hair / Chinstrap / Medical Mask
456, Human, Male, Dark,3, Luxurious Beard / Top Hat / VR
457, Human, Male, Medium,4, Mohawk Thin / Spots / Earring / Nerd Glasses
458, Human, Male, Light,3, Chinstrap / Knitted Cap / 3D Glasses
459, Human, Male, Dark,3, Normal Beard Black / Cap / Earring
460, Human, Male, Dark,1, Police Cap
461, Human, Female, Light,5, Black Lipstick / Choker / Classic Shades / Earring / Mohawk Dark
462, Human, Male, Dark,2, Knitted Cap / Smile
463, Human, Male, Dark,3, Clown Nose / Cap Forward / Regular Shades
464, Human, Male, Medium,2, Bandana / Vape
465, Human, Female, Dark,2, Hot Lipstick / Mohawk Dark
466, Human, Male, Light,3, Hoodie / Pipe / 3D Glasses
467, Human, Female, Medium,2, Purple Lipstick / Blonde Bob
468, Human, Male, Light,3, Front Beard / Purple Hair / Classic Shades
469, Human, Male, Dark,1, Peak Spike
470, Human, Female, Light,1, Frumpy Hair
471, Human, Male, Dark,3, Big Shades / Knitted Cap / Mole
472, Human, Female, Dark,2, Clown Eyes Green / Stringy Hair
473, Human, Male, Dark,3, Wild Hair / Mustache / Regular Shades
474, Human, Female, Light,2, Green Eye Shadow / Straight Hair Dark
